event,event_date,asset,asset_name,day,AR,CAR,direction
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,-4,-0.7898543029752876,-5.465958257362889,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,-3,2.747792087387765,-2.718166169975124,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,-2,3.4568565552041375,0.7386903852290136,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,-1,-3.8478734789693845,-3.109183093740371,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,0,-2.033204225451469,-5.14238731919184,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,1,0.5436603457572642,-4.598726973434577,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,2,-4.510143697453374,-9.108870670887951,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,3,-2.265867178273002,-11.374737849160953,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,4,2.3585497196750875,-9.016188129485865,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,5,-0.35277795067450035,-9.368966080160366,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,6,-0.68015098012684,-10.049117060287205,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,7,-1.8306809699916338,-11.879798030278838,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,8,-0.22313815504523213,-12.10293618532407,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,9,-2.1289238001596313,-14.231859985483702,brown_positive
SCOTUS West Virginia v EPA,2022-06-30,XLE,Fossil Fuels,10,0.2076646751924902,-14.024195310291212,brown_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,-5,0.7820788536734415,0.7820788536734415,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,-4,-0.4018261347713665,0.380252718902075,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,-3,-1.6525661354650296,-1.2723134165629546,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,-2,-1.8995586172936547,-3.1718720338566095,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,-1,-2.1585535537532374,-5.330425587609847,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,0,0.6466062862771343,-4.683819301332712,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,1,1.0769131448148188,-3.6069061565178933,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,2,0.21719436571813233,-3.389711790799761,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,3,0.6027013436669497,-2.787010447132811,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,4,-0.9447331194394217,-3.731743566572233,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,5,0.04524336530739152,-3.6865002012648413,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,6,0.34230000254333404,-3.3442001987215075,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,7,0.6569365818669632,-2.687263616854544,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,8,1.2058163196226013,-1.4814472972319428,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,9,0.2777853562300585,-1.2036619410018843,green_positive
IPCC AR6 Synthesis Report,2023-03-20,ICLN,Clean Energy,10,-1.3694714135518344,-2.5731333545537187,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,-5,-1.989750578602357,-1.989750578602357,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,-4,-0.4693013727362849,-2.459051951338642,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,-3,-5.042545385702707,-7.501597337041349,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,-2,-0.4577026902371508,-7.9593000272785,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,-1,-0.6411942146819558,-8.600494241960456,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,0,1.1104847204257848,-7.490009521534672,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,1,2.2359094124961496,-5.254100109038522,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,2,-0.7434650849973434,-5.997565194035866,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,3,-1.6819484005886118,-7.679513594624478,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,4,-0.22790931232564904,-7.907422906950127,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,5,1.892762216302852,-6.0146606906472755,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,6,1.6685762716191546,-4.346084419028121,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,7,0.09152118704175738,-4.2545632319863635,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,8,-0.11543363457872985,-4.369996866565093,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,9,-0.5580051609935252,-4.928002027558618,green_positive
IPCC AR6 Synthesis Report,2023-03-20,XLE,Fossil Fuels,10,4.047042888520697,-0.8809591390379206,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,-5,-0.7658954154131323,-0.7658954154131323,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,-4,1.6986813182740605,0.9327859028609282,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,-3,0.27566281813836513,1.2084487209992933,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,-2,-1.2148385437814972,-0.006389822782203902,green_positive
